lang_code	language	orthography	observed_scripts	keep_these_scripts	is_subtag
pa	Eastern Punjabi	Arabic, Gurmukhi, Devanagari	Arabic,Common,Gurmukhi	Arabic, Gurmukhi, Devanagari	FALSE
pa	Punjabi	Arabic, Gurmukhi, Devanagari	Arabic,Common,Gurmukhi	Arabic, Gurmukhi, Devanagari	FALSE
pag	Pangasinan	Latin	Common,Latin	Latin	FALSE
pam	Kapampangan	Latin	Common,Latin	Latin	FALSE
pap	Papiamento	Latin	Common,Latin	Latin	FALSE
pcd	Picard	Latin	Common,Latin	Latin	FALSE
pdc	Pennsylvania German	Latin	Common,Latin	Latin	FALSE
pdt	Plautdietsch	Latin	Common,Latin	Latin	FALSE
peo	Old Persian	Latin			FALSE
pfl	Palatinate German	Latin	Common,Latin	Latin	FALSE
pi	Pali	Brahmi	Devanagari,Latin	Devanagari	FALSE
pih	Pitkern	Latin	Common,Latin	Latin	FALSE
pis	Pijin	Latin			FALSE
pjt	Pitjantjatjara	Latin			FALSE
pko	Pökoot	Latin			FALSE
pl	Polish	Latin	Common,Latin	Latin	FALSE
pms	Piedmontese	Latin	Common,Latin	Latin	FALSE
pmy	Papuan Malay	Latin			FALSE
pnb	Punjabi	Arabic, Gurmukhi, Devanagari	Arabic,Common	Arabic, Gurmukhi, Devanagari	FALSE
pnb	Western Punjabi	Arabic, Gurmukhi, Devanagari	Arabic,Common	Arabic, Gurmukhi, Devanagari	FALSE
pnt	Pontic Greek	Greek	Common,Greek	Greek	FALSE
ppu	Papora-Hoanya	Latin			FALSE
prg	Old Prussian	Latin	Common,Latin	Latin	FALSE
ps	Pashto	Arabic	Arabic	Arabic	FALSE
pt	Portuguese	Latin	Common,Latin	Latin	FALSE
pt-ao1990	Portuguese Language Orthographic Agreement of 1990	Latin			TRUE
pt-br	Brazilian Portuguese	Latin	Common,Latin	Latin	TRUE
pwn	Paiwan	Latin	Latin	Latin	FALSE
pwn	katadrengan	Latin	Latin	Latin	FALSE
pyu	Puyuma	Latin			FALSE
qu	Quechua	Latin	Common,Latin	Latin	FALSE
quc	K’iche’	Latin	Latin	Latin	FALSE
