count	language_code	type
2	ryu	LOC
2	rmc	PER
2	no	LOC
2	mcn	PER
2	mcn	ORG
2	ks-deva	PER
2	ks-arab	ORG
2	kcg	LOC
2	ii	ORG
2	gur	LOC
2	btm	PER
2	bqi	ORG
2	bkm	PER
2	ase	PER
2	agq	ORG
2	abs	PER
1	zh-yue	PER
1	uz	ORG
1	uz-latn	LOC
1	uz-cyrl	LOC
1	ryu	ORG
1	rwr	PER
1	ruq-cyrl	ORG
1	roa-rup	ORG
1	roa-rup	LOC
1	rmc	LOC
1	quc	PER
1	nan-hani	LOC
1	luz	PER
1	kum	PER
1	ks-deva	ORG
1	ks-deva	LOC
1	ks-arab	LOC
1	khw	ORG
1	khw	LOC
1	kbd-cyrl	ORG
1	hu-formal	PER
1	hu-formal	ORG
1	hif	ORG
1	fmp	ORG
1	ewo	ORG
1	eto	ORG
1	en-us	PER
1	dua	ORG
1	bqi	LOC
1	bkm	ORG
1	bkh	ORG
1	bkc	ORG
1	be-x-old	PER
1	bbj	ORG
1	bax	ORG
1	ban-bali	PER
1	bag	ORG
1	bag	LOC
1	ase	LOC
1	anp	ORG
1	anp	LOC
1	aeb	LOC
1	ady-cyrl	ORG
